"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"Helicobacter apodemus","285","126","139","107","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter apodemus"
"Clostridium sp. Clone-49","282","244","613","27","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-49"
"Parabacteroides sp. DJF_B086","278","456","1209","398","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides sp. DJF_B086"
"unkn. Porphyromonadaceae(f)","262","343","333","460","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unkn. Porphyromonadaceae(f);unkn. Porphyromonadaceae(f)"
"unkn. Eisenbergiella(g)","261","177","167","52","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;unkn. Eisenbergiella(g)"
"unkn. Desulfovibrio(g)","260","1071","575","117","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;unkn. Desulfovibrio(g)"
"unkn. Lactobacillales(o)","253","1183","49","105","Bacteria;Firmicutes;Bacilli;Lactobacillales;unkn. Lactobacillales(o);unkn. Lactobacillales(o);unkn. Lactobacillales(o)"
"Clostridium fusiformis","249","480","537","59","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium fusiformis"
"Mucispirillum schaedleri","245","988","204","36","Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;Mucispirillum schaedleri"
"Eisenbergiella tayi","237","230","295","79","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi"
"Roseburia intestinalis","234","260","273","517","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis"
"unkn. Desulfovibrionaceae(f)","228","1680","810","147","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;unkn. Desulfovibrionaceae(f);unkn. Desulfovibrionaceae(f)"
"Clostridium sp. enrichment culture","211","228","366","198","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. enrichment culture"
"Parabacteroides merdae","207","0","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides merdae"
"unkn. Erysipelotrichaceae(f)","207","587","7786","13173","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;unkn. Erysipelotrichaceae(f);unkn. Erysipelotrichaceae(f)"
"Clostridium sp. Culture Jar-8","201","209","135","34","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture Jar-8"
"unkn. Oscillibacter(g)","195","308","288","37","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;unkn. Oscillibacter(g)"
"unkn. Deltaproteobacteria(c)","191","2673","1117","105","Bacteria;Proteobacteria;Deltaproteobacteria;unkn. Deltaproteobacteria(c);unkn. Deltaproteobacteria(c);unkn. Deltaproteobacteria(c);unkn. Deltaproteobacteria(c)"
"Clostridium sp. Culture-1","190","174","166","64","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture-1"
"unkn. Marvinbryantia(g)","190","668","336","56","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;unkn. Marvinbryantia(g)"
"[Ruminococcus] gnavus","188","2119","70","36","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] gnavus"
"Clostridium sp. Culture-41","186","510","266","74","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture-41"
"Lachnospira pectinoschiza","179","141","314","34","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;Lachnospira pectinoschiza"
"Butyricicoccus faecihominis","178","547","217","50","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;Butyricicoccus faecihominis"
"unkn. Eubacteriaceae(f)","175","256","242","223","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;unkn. Eubacteriaceae(f);unkn. Eubacteriaceae(f)"
"Clostridium sp. A9","174","581","393","49","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. A9"
"unkn. Pseudoflavonifractor(g)","174","143","59","36","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Pseudoflavonifractor;unkn. Pseudoflavonifractor(g)"
"unkn. Faecalibacterium(g)","167","28","185","19","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;unkn. Faecalibacterium(g)"
"Oscillospira guilliermondii","163","226","696","71","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;Oscillospira guilliermondii"
"Bacteroides thetaiotaomicron","160","0","0","316","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron"
"Ruminococcus callidus","149","31","72","29","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus callidus"
"Angelakisella massiliensis","148","213","129","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;Angelakisella massiliensis"
"unkn. Mollicutes(c)","148","178","174","16","Bacteria;Tenericutes;Mollicutes;unkn. Mollicutes(c);unkn. Mollicutes(c);unkn. Mollicutes(c);unkn. Mollicutes(c)"
"[Clostridium] xylanolyticum","147","107","11","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] xylanolyticum"
"unkn. Ruminiclostridium(g)","140","217","215","56","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;unkn. Ruminiclostridium(g)"
"unkn. Barnesiella(g)","139","117","67","424","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;unkn. Barnesiella(g)"
"Anaerotruncus colihominis","138","142","210","31","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus colihominis"
"unkn. Bacteroidaceae(f)","138","130","92","204","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;unkn. Bacteroidaceae(f);unkn. Bacteroidaceae(f)"
"Anaerotruncus rubiinfantis","130","204","166","31","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus rubiinfantis"
"Roseburia inulinivorans","130","44","66","29","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans"
"Dorea formicigenerans","126","36","133","16","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea formicigenerans"
"Ruminococcus bicirculans","125","5","15","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus bicirculans"
"Alistipes massiliensis","123","139","51","24","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes massiliensis"
"unkn. Acetatifactor(g)","120","335","569","33","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;unkn. Acetatifactor(g)"
"unkn. Odoribacteraceae(f)","116","932","255","119","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;unkn. Odoribacteraceae(f);unkn. Odoribacteraceae(f)"
"unkn. Blautia(g)","115","213","251","46","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;unkn. Blautia(g)"
"[Eubacterium] eligens","114","48","274","29","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;[Eubacterium] eligens"
"Clostridium sp. enrichment culture clone Y234","113","84","216","48","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. enrichment culture clone Y234"
"Bacteroides fragilis","111","515","16","2022","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis"
"unkn. Eggerthellaceae(f)","109","96","85","92","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;unkn. Eggerthellaceae(f);unkn. Eggerthellaceae(f)"
"unkn. Flintibacter(g)","109","105","88","7","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Flintibacter;unkn. Flintibacter(g)"
"unkn. Odoribacter(g)","108","1121","236","106","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;unkn. Odoribacter(g)"
"unkn. Alphaproteobacteria(c)","104","99","101","32","Bacteria;Proteobacteria;Alphaproteobacteria;unkn. Alphaproteobacteria(c);unkn. Alphaproteobacteria(c);unkn. Alphaproteobacteria(c);unkn. Alphaproteobacteria(c)"
"unkn. Oscillospiraceae(f)","103","135","94","13","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;unkn. Oscillospiraceae(f);unkn. Oscillospiraceae(f)"
"unkn. Propionibacteriales(o)","102","174","104","374","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;unkn. Propionibacteriales(o);unkn. Propionibacteriales(o);unkn. Propionibacteriales(o)"
"Faecalibaculum rodentium","100","691","714","9817","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;Faecalibaculum rodentium"
"unkn. Butyrivibrio(g)","100","78","50","46","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;unkn. Butyrivibrio(g)"
"unkn. Tyzzerella(g)","100","162","100","22","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;unkn. Tyzzerella(g)"
"unkn. Intestinimonas(g)","98","140","95","33","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Intestinimonas;unkn. Intestinimonas(g)"
"unkn. Rikenellaceae(f)","97","74","35","15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;unkn. Rikenellaceae(f);unkn. Rikenellaceae(f)"
"Marseillibacter massiliensis","95","9","8","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Marseillibacter;Marseillibacter massiliensis"
"unkn. Anaeroplasmataceae(f)","93","63","116","30","Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;unkn. Anaeroplasmataceae(f);unkn. Anaeroplasmataceae(f)"
"unkn. Bacilli(c)","92","120","96","56","Bacteria;Firmicutes;Bacilli;unkn. Bacilli(c);unkn. Bacilli(c);unkn. Bacilli(c);unkn. Bacilli(c)"
"Clostridium sp. Culture-54","91","173","105","65","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture-54"
"unkn. Anaerotruncus(g)","91","136","143","24","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;unkn. Anaerotruncus(g)"
"unkn. Erysipelotrichia(c)","91","1822","1490","1379","Bacteria;Firmicutes;Erysipelotrichia;unkn. Erysipelotrichia(c);unkn. Erysipelotrichia(c);unkn. Erysipelotrichia(c);unkn. Erysipelotrichia(c)"
"Escherichia coli","90","0","200","562","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli"
"unkn. Oscillospira(g)","88","71","319","43","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;unkn. Oscillospira(g)"
"Barnesiella sp. S496","86","0","1","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;Barnesiella sp. S496"
"Clostridium sp. Kas107-2","85","300","58","16","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Kas107-2"
"Lactobacillus johnsonii","85","28","29","137","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii"
"[Clostridium] aldenense","84","63","643","53","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] aldenense"
"Pseudoflavonifractor sp. Marseille-P3106","82","92","36","68","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Pseudoflavonifractor;Pseudoflavonifractor sp. Marseille-P3106"
"Catenibacterium mitsuokai","81","79","157","96","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;Catenibacterium mitsuokai"
"Coprococcus sp. ART55/1","80","51","66","15","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;Coprococcus sp. ART55/1"
"unkn. Olsenella(g)","80","13","60","258","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;unkn. Olsenella(g)"
"unkn. Butyricicoccus(g)","79","119","95","17","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;unkn. Butyricicoccus(g)"
"unkn. Mucispirillum(g)","78","224","50","21","Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;unkn. Mucispirillum(g)"
"unkn. Prevotella(g)","78","36","53","43","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;unkn. Prevotella(g)"
"Roseburia sp. MC_37","77","21","64","14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. MC_37"
"Clostridium sp. enrichment culture clone 06-1235251-89","76","108","79","15","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. enrichment culture clone 06-1235251-89"
"Clostridium sp. ID6","74","68","153","38","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. ID6"
"Lactobacillus acidophilus","74","1","25","85","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus acidophilus"
"unkn. Culturomica(g)","73","1053","299","61","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Culturomica;unkn. Culturomica(g)"
"unkn. Turicibacter(g)","73","50","420","78","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;unkn. Turicibacter(g)"
"Faecalibacterium prausnitzii","71","17","46","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii"
"unkn. Stomatobaculum(g)","69","60","35","19","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;unkn. Stomatobaculum(g)"
"unkn. Proteobacteria(p)","68","479","314","116","Bacteria;Proteobacteria;unkn. Proteobacteria(p);unkn. Proteobacteria(p);unkn. Proteobacteria(p);unkn. Proteobacteria(p);unkn. Proteobacteria(p)"
"Helicobacter ganmani","66","165","90","22","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter ganmani"
"unkn. Angelakisella(g)","66","77","67","19","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;unkn. Angelakisella(g)"
"unkn. Coriobacteriales(o)","66","6","39","25","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;unkn. Coriobacteriales(o);unkn. Coriobacteriales(o);unkn. Coriobacteriales(o)"
"[Clostridium] lactatifermentans","64","40","86","15","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;[Clostridium] lactatifermentans"
"Clostridium sp.","64","70","81","13","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp."
"Intestinimonas butyriciproducens","64","81","47","27","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Intestinimonas;Intestinimonas butyriciproducens"
"Flavonifractor plautii","63","152","39","170","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Flavonifractor;Flavonifractor plautii"
"Coprococcus eutactus","61","48","72","23","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;Coprococcus eutactus"
"Anaerocolumna jejuensis","60","664","150","31","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis"
"Anaerostipes butyraticus","60","10","28","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes butyraticus"
"unkn. Acidaminococcus(g)","60","1","0","1","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;unkn. Acidaminococcus(g)"
"Bacteroides sartorii","59","102","235","253","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii"
"Eubacterium ramulus","59","49","136","18","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium ramulus"
"unkn. Coprococcus(g)","59","38","65","22","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;unkn. Coprococcus(g)"
"unkn. Parasutterella(g)","58","187","58","129","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;unkn. Parasutterella(g)"
"unkn. Sphingobacteriia(c)","58","62","55","57","Bacteria;Bacteroidetes;Sphingobacteriia;unkn. Sphingobacteriia(c);unkn. Sphingobacteriia(c);unkn. Sphingobacteriia(c);unkn. Sphingobacteriia(c)"
"Roseburia sp. 1120","57","27","178","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. 1120"
