"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"Lachnotalea glycerini","1","3","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;Lachnotalea glycerini"
"Lactobacillus gigeriorum","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gigeriorum"
"Lactobacillus hayakitensis","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus hayakitensis"
"Lactobacillus ruminis","1","0","2","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ruminis"
"Lactobacillus satsumensis","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus satsumensis"
"Lactobacillus sp. KC38","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. KC38"
"Lactobacillus sp. KC45a","1","0","1","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. KC45a"
"Lactobacillus sp. LDS201","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. LDS201"
"Lactobacillus sp. oral clone CX036","1","0","0","2","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. oral clone CX036"
"Lactobacillus sp. OS10","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. OS10"
"Oribacterium sp. NK2B42","1","7","7","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sp. NK2B42"
"Paenisporosarcina sp. B2337_1","1","0","0","0","Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina;Paenisporosarcina sp. B2337_1"
"Parabacteroides johnsonii","1","2","0","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides johnsonii"
"Parabacteroides sp.","1","0","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides sp."
"Parasutterella excrementihominis","1","2","0","4","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;Parasutterella excrementihominis"
"Peptococcus sp. oral clone JM048","1","2","0","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;Peptococcus sp. oral clone JM048"
"Prevotella sp. 109","1","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. 109"
"Propioniciclava sp. TEYR-7","1","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava;Propioniciclava sp. TEYR-7"
"Reyranella sp. 11G32","1","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unkn. Rhodospirillales(o);Reyranella;Reyranella sp. 11G32"
"Ruminococcus sp. 14531","1","0","2","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. 14531"
"Ruminococcus sp. 15975","1","3","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. 15975"
"Ruminococcus sp. AT10","1","1","2","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. AT10"
"Ruminococcus sp. MC_38","1","4","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. MC_38"
"Ruminococcus sp. YE58","1","1","0","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. YE58"
"Slackia piriformis","1","0","1","0","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;Slackia piriformis"
"Streptococcus hyointestinalis","1","21","3","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus hyointestinalis"
"Streptococcus parauberis","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parauberis"
"Sutterella sp. YIT 12072","1","3","6","7","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella sp. YIT 12072"
"Tyzzerella sp. Marseille-P3062","1","8","217","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;Tyzzerella sp. Marseille-P3062"
"unkn. Acetobacteroides(g)","1","1","1","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Acetobacteroides;unkn. Acetobacteroides(g)"
"unkn. Acidobacteriia(c)","1","0","0","0","Bacteria;Acidobacteria;Acidobacteriia;unkn. Acidobacteriia(c);unkn. Acidobacteriia(c);unkn. Acidobacteriia(c);unkn. Acidobacteriia(c)"
"unkn. Acinetobacter(g)","1","2","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;unkn. Acinetobacter(g)"
"unkn. Actinocorallia(g)","1","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia;unkn. Actinocorallia(g)"
"unkn. Aeromonadaceae(f)","1","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;unkn. Aeromonadaceae(f);unkn. Aeromonadaceae(f)"
"unkn. Aeromonadales(o)","1","2","2","1","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;unkn. Aeromonadales(o);unkn. Aeromonadales(o);unkn. Aeromonadales(o)"
"unkn. Aeromonas(g)","1","1","1","11","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;unkn. Aeromonas(g)"
"unkn. Afifella(g)","1","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella;unkn. Afifella(g)"
"unkn. Alloprevotella(g)","1","5","7","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;unkn. Alloprevotella(g)"
"unkn. Anaerobacterium(g)","1","4","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerobacterium;unkn. Anaerobacterium(g)"
"unkn. Anaerobium(g)","1","2","4","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerobium;unkn. Anaerobium(g)"
"unkn. Anoxynatronum(g)","1","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anoxynatronum;unkn. Anoxynatronum(g)"
"unkn. Candidatus Phytoplasma(g)","1","2","4","1","Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma;unkn. Candidatus Phytoplasma(g)"
"unkn. Carnobacterium(g)","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;unkn. Carnobacterium(g)"
"unkn. Casaltella(g)","1","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Casaltella;unkn. Casaltella(g)"
"unkn. Caulobacteraceae(f)","1","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unkn. Caulobacteraceae(f);unkn. Caulobacteraceae(f)"
"unkn. Chloroflexi(p)","1","0","0","0","Bacteria;Chloroflexi;unkn. Chloroflexi(p);unkn. Chloroflexi(p);unkn. Chloroflexi(p);unkn. Chloroflexi(p);unkn. Chloroflexi(p)"
"unkn. Chroococcales(o)","1","0","0","0","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Chroococcales;unkn. Chroococcales(o);unkn. Chroococcales(o);unkn. Chroococcales(o)"
"unkn. Colwellia(g)","1","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;unkn. Colwellia(g)"
"unkn. Defluviitaleaceae(f)","1","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;unkn. Defluviitaleaceae(f);unkn. Defluviitaleaceae(f)"
"unkn. Denitrobacterium(g)","1","1","2","0","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Denitrobacterium;unkn. Denitrobacterium(g)"
"unkn. Desulfomicrobiaceae(f)","1","0","0","2","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;unkn. Desulfomicrobiaceae(f);unkn. Desulfomicrobiaceae(f)"
"unkn. Dielma(g)","1","0","0","0","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dielma;unkn. Dielma(g)"
"unkn. Ectothiorhodospiraceae(f)","1","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;unkn. Ectothiorhodospiraceae(f);unkn. Ectothiorhodospiraceae(f)"
"unkn. Ercella(g)","1","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ercella;unkn. Ercella(g)"
"unkn. Erysipelatoclostridium(g)","1","0","0","122","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;unkn. Erysipelatoclostridium(g)"
"unkn. Erysipelothrix(g)","1","0","0","1","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;unkn. Erysipelothrix(g)"
"unkn. Facklamia(g)","1","0","0","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;unkn. Facklamia(g)"
"unkn. Fenollaria(g)","1","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Fenollaria;unkn. Fenollaria(g)"
"unkn. Filifactor(g)","1","1","2","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor;unkn. Filifactor(g)"
"unkn. Fusobacterium(g)","1","3","1","0","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unkn. Fusobacterium(g)"
"unkn. Geosporobacter(g)","1","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Geosporobacter;unkn. Geosporobacter(g)"
"unkn. Hespellia(g)","1","4","4","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia;unkn. Hespellia(g)"
"unkn. Hyphomicrobiaceae(f)","1","0","1","9","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;unkn. Hyphomicrobiaceae(f);unkn. Hyphomicrobiaceae(f)"
"unkn. Kineosporiaceae(f)","1","0","0","0","Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;unkn. Kineosporiaceae(f);unkn. Kineosporiaceae(f)"
"unkn. Klebsiella(g)","1","18","19","12","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;unkn. Klebsiella(g)"
"unkn. Micrococcus(g)","1","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;unkn. Micrococcus(g)"
"unkn. Microcystaceae(f)","1","0","0","0","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Chroococcales;Microcystaceae;unkn. Microcystaceae(f);unkn. Microcystaceae(f)"
"unkn. Mobilibacterium(g)","1","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Mobilibacterium;unkn. Mobilibacterium(g)"
"unkn. Nocardioidaceae(f)","1","0","1","1138","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;unkn. Nocardioidaceae(f);unkn. Nocardioidaceae(f)"
"unkn. Oxobacter(g)","1","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oxobacter;unkn. Oxobacter(g)"
"unkn. Paenibacillaceae(f)","1","3","7","1","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;unkn. Paenibacillaceae(f);unkn. Paenibacillaceae(f)"
"unkn. Paeniclostridium(g)","1","11","17","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paeniclostridium;unkn. Paeniclostridium(g)"
"unkn. Parvimonas(g)","1","0","0","0","Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas;unkn. Parvimonas(g)"
"unkn. Pediococcus(g)","1","0","1","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;unkn. Pediococcus(g)"
"unkn. Proteiniborus(g)","1","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Proteiniborus;unkn. Proteiniborus(g)"
"unkn. Rhodocyclales(o)","1","0","0","0","Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;unkn. Rhodocyclales(o);unkn. Rhodocyclales(o);unkn. Rhodocyclales(o)"
"unkn. Saccharicrinis(g)","1","2","0","1","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Saccharicrinis;unkn. Saccharicrinis(g)"
"unkn. Selenomonas(g)","1","1","2","0","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;unkn. Selenomonas(g)"
"unkn. Senegalimassilia(g)","1","0","3","0","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Senegalimassilia;unkn. Senegalimassilia(g)"
"unkn. Shewanella(g)","1","1","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;unkn. Shewanella(g)"
"unkn. Slackia(g)","1","0","1","1","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;unkn. Slackia(g)"
"unkn. Sphingomonadaceae(f)","1","0","1","0","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;unkn. Sphingomonadaceae(f);unkn. Sphingomonadaceae(f)"
"unkn. Spirochaetaceae(f)","1","1","0","2","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;unkn. Spirochaetaceae(f);unkn. Spirochaetaceae(f)"
"unkn. Spirochaetes(p)","1","1","1","0","Bacteria;Spirochaetes;unkn. Spirochaetes(p);unkn. Spirochaetes(p);unkn. Spirochaetes(p);unkn. Spirochaetes(p);unkn. Spirochaetes(p)"
"unkn. Sporocytophaga(g)","1","0","0","1","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga;unkn. Sporocytophaga(g)"
"unkn. Streptococcaceae(f)","1","7","5","0","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;unkn. Streptococcaceae(f);unkn. Streptococcaceae(f)"
"unkn. Synergistia(c)","1","0","0","0","Bacteria;Synergistetes;Synergistia;unkn. Synergistia(c);unkn. Synergistia(c);unkn. Synergistia(c);unkn. Synergistia(c)"
"unkn. Tepidibacter(g)","1","4","1","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Tepidibacter;unkn. Tepidibacter(g)"
"unkn. Thermodesulfobium(g)","1","3","1","0","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermodesulfobiaceae;Thermodesulfobium;unkn. Thermodesulfobium(g)"
"unkn. Treponema(g)","1","0","3","0","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;unkn. Treponema(g)"
"unkn. Verrucomicrobia(p)","1","1","1","0","Bacteria;Verrucomicrobia;unkn. Verrucomicrobia(p);unkn. Verrucomicrobia(p);unkn. Verrucomicrobia(p);unkn. Verrucomicrobia(p);unkn. Verrucomicrobia(p)"
"unkn. Verrucomicrobiae(c)","1","0","0","0","Bacteria;Verrucomicrobia;Verrucomicrobiae;unkn. Verrucomicrobiae(c);unkn. Verrucomicrobiae(c);unkn. Verrucomicrobiae(c);unkn. Verrucomicrobiae(c)"
"unkn. Victivallis(g)","1","0","0","0","Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;unkn. Victivallis(g)"
"[Clostridium] cellulosi","0","0","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] cellulosi"
"[Clostridium] colinum","0","1","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;[Clostridium] colinum"
"[Clostridium] hungatei","0","2","0","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] hungatei"
"[Clostridium] spiroforme","0","0","0","1","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] spiroforme"
"[Desulfotomaculum] guttoideum","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Desulfotomaculum] guttoideum"
"[Eubacterium] tenue","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Paeniclostridium;[Eubacterium] tenue"
"Acetitomaculum ruminis","0","0","3","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;Acetitomaculum ruminis"
"Acholeplasma equifetale","0","1","0","0","Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma equifetale"
"Acinetobacter sp. DH31","0","1","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. DH31"
"Actinomyces sp. oral taxon 848","0","0","1","0","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 848"
"Actinospica acidiphila","0","0","0","2","Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;Actinospica acidiphila"
"Alcaligenes sp. ES-JQ-2","0","0","3","4","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;Alcaligenes sp. ES-JQ-2"
"Alkaliphilus sp. Iso-W1","0","0","0","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus;Alkaliphilus sp. Iso-W1"
"Alsobacter metallidurans","0","0","4","6","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unkn. Rhizobiales(o);Alsobacter;Alsobacter metallidurans"
"Anaerocolumna cellulosilytica","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;Anaerocolumna cellulosilytica"
"Anaerofustis stercorihominis","0","1","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;Anaerofustis stercorihominis"
"Anaeroplasma abactoclasticum","0","0","1","0","Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;Anaeroplasma abactoclasticum"
"Anaerostipes caccae","0","30","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes caccae"
"Anaerostipes hadrus","0","2","13","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus"
"Anaerostipes sp. 494a","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes sp. 494a"
"Anaerostipes sp. IE4","0","0","1","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes sp. IE4"
"Anaerovorax odorimutans","0","1","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Anaerovorax;Anaerovorax odorimutans"
"Aquihabitans daechungensis","0","0","2","0","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis"
"Bacillus anthracis","0","0","12","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"
"Bacillus cereus","0","0","244","10","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"
"Bacillus megaterium","0","0","4","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus megaterium"
"Bacillus sp.","0","0","127","4","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp."
"Bacillus sp. 75G","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. 75G"
"Bacillus sp. AF-777","0","0","2","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. AF-777"
"Bacillus sp. BAB-5496","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. BAB-5496"
"Bacillus sp. BAB-5499","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. BAB-5499"
"Bacillus sp. BBDP1032","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. BBDP1032"
"Bacillus sp. D60","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. D60"
"Bacillus sp. H69(2015)","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. H69(2015)"
"Bacillus sp. IARI-AN-23","0","0","2","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. IARI-AN-23"
"Bacillus sp. ICB415","0","0","5","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. ICB415"
"Bacillus sp. KRD19","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. KRD19"
"Bacillus sp. mixed culture J2-7F","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. mixed culture J2-7F"
"Bacillus sp. NCCP-758","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. NCCP-758"
"Bacillus sp. RKND-0541","0","0","2","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. RKND-0541"
"Bacillus sp. SBK-8","0","0","1","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. SBK-8"
"Bacillus sp. SD-43","0","0","2","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. SD-43"
"Bacillus thuringiensis","0","0","44","0","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"
"Bacteroides clarus","0","1","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides clarus"
"Bacteroides massiliensis","0","0","7","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides massiliensis"
"Bacteroides salyersiae","0","1","0","2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae"
"Bacteroides sp.","0","0","5","11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp."
"Bacteroides sp. AN 5745","0","1","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. AN 5745"
"Bacteroides sp. CR-48","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CR-48"
"Bacteroides sp. enrichment culture clone BR8","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. enrichment culture clone BR8"
"Bacteroides sp. SLC1-38","0","0","3","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. SLC1-38"
"Bacteroides stercoris","0","2","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris"
"Bacteroides timonensis","0","0","0","1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides timonensis"
"Bacteroides vulgatus","0","271","289","276","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus"
"Barnesiella viscericola","0","0","1","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;Barnesiella viscericola"
"Bifidobacterium animalis","0","0","3","226","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis"
"Bifidobacterium longum","0","0","238","1142","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum"
"Bifidobacterium scardovii","0","0","0","2","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium scardovii"
"Bifidobacterium sp. 65947","0","0","0","1","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium sp. 65947"
"Bilophila sp. S375","0","1","6","2","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;Bilophila sp. S375"
"Blautia coccoides","0","0","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia coccoides"
"Blautia schinkii","0","0","3","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia schinkii"
"Blautia sp. canine oral taxon 143","0","6","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. canine oral taxon 143"
"Brachyspira innocens","0","1","0","0","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira innocens"
"Breznakia pachnodae","0","0","0","1","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Breznakia;Breznakia pachnodae"
"Butyricimonas synergistica","0","0","1","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas synergistica"
"Butyrivibrio sp.","0","0","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp."
"Butyrivibrio sp. 3","0","1","1","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp. 3"
